Actives file,Results file,Total ligands(actives+decoys),Total actives,Number of ranked actives,BEDROC(alpha=160.9),BEDROC(alpha=160.9) alpha*Ra,BEDROC(alpha=20.0),BEDROC(alpha=20.0) alpha*Ra,BEDROC(alpha=8.0),BEDROC(alpha=8.0) alpha*Ra,ROC,RIE,Area under accumulation curve,Ave. Num. of outranking decoys,# Actives 1%,# Actives 2%,# Actives 5%,# Actives 10%,# Actives 20%,% Actives 1%,% Actives 2%,% Actives 5%,% Actives 10%,% Actives 20%,# Actives 1%*,# Actives 2%*,# Actives 5%*,# Actives 10%*,# Actives 20%*,% Actives 1%*,% Actives 2%*,% Actives 5%*,% Actives 10%*,% Actives 20%*,EF 1%,EF 2%,EF 5%,EF 10%,EF 20%,EF* 1%,EF* 2%,EF* 5%,EF* 10%,EF* 20%,EF' 1%,EF' 2%,EF' 5%,EF' 10%,EF' 20%,DEF 1%,DEF 2%,DEF 5%,DEF 10%,DEF 20%,DEF* 1%,DEF* 2%,DEF* 5%,DEF* 10%,DEF* 20%,DEF' 1%,DEF' 2%,DEF' 5%,DEF' 10%,DEF' 20%,Eff 1%,Eff 2%,Eff 5%,Eff 10%,Eff 20%,EF 40% actives,EF 50% actives,EF 60% actives,EF 70% actives,EF 80% actives,EF 90% actives,EF 100% actives,EF* 40% actives,EF* 50% actives,EF* 60% actives,EF* 70% actives,EF* 80% actives,EF* 90% actives,EF* 100% actives,EF' 40% actives,EF' 50% actives,EF' 60% actives,EF' 70% actives,EF' 80% actives,EF' 90% actives,EF' 100% actives,FOD 40% actives,FOD 50% actives,FOD 60% actives,FOD 70% actives,FOD 80% actives,FOD 90% actives,FOD 100% actives
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_2BDW.mae,1030,30,30,0.000257283614644,4.68640776699,0.0576685723131,0.582524271845,0.137888020517,0.233009708738,0.546666666667,0.874175994323,0.545307443366,452.833333333,0,0,2,3,6,0.0,0.0,6.66666666667,10.0,20.0,0,0,2,3,6,0.0,0.0,6.66666666667,10.0,20.0,0,0,1.3,1,1,0,0,1.3,1,1,n/a,n/a,0.88,1.2,1,n/a,n/a,1.3,0.96,0.99,n/a,n/a,1.3,0.96,0.99,n/a,n/a,0.85,1.2,0.99,-1,-1,0.143,0,0,1.2,1,1.1,1.2,1.2,1.2,1.1,1.2,1,1.1,1.2,1.3,1.2,1.1,0.99,1,1,1,1,1.1,1.1,0.2,0.2,0.3,0.3,0.4,0.4,0.5
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_2HAK.mae,1030,30,29,0.107517547027,4.68640776699,0.154518073534,0.582524271845,0.225931240834,0.233009708738,0.6457,2.34228072131,0.64145631068,367.034482759,2,3,5,5,8,6.66666666667,10.0,16.6666666667,16.6666666667,26.6666666667,2,3,5,5,8,6.66666666667,10.0,16.6666666667,16.6666666667,26.6666666667,6.9,4.9,3.3,1.7,1.3,6.7,5,3.3,1.7,1.3,6.9,6.4,4.1,2.9,1.9,6.4,4.8,3.2,1.6,1.3,6.2,4.9,3.2,1.6,1.3,6.4,6.2,4,2.8,1.8,0.739,0.667,0.538,0.25,0.143,1.4,1.3,1.3,1.3,1.3,1.3,n/a,1.4,1.3,1.3,1.3,1.4,1.3,n/a,1.7,1.6,1.5,1.5,1.5,1.4,n/a,0.1,0.2,0.2,0.3,0.3,0.3,n/a
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_2QNJ.mae,1030,30,28,0.272608967541,4.68640776699,0.181416781129,0.582524271845,0.264838689522,0.233009708738,0.679,2.75002799179,0.673786407767,345.5,2,2,4,8,10,6.66666666667,6.66666666667,13.3333333333,26.6666666667,33.3333333333,2,2,4,8,10,6.66666666667,6.66666666667,13.3333333333,26.6666666667,33.3333333333,6.9,3.3,2.6,2.7,1.7,6.7,3.3,2.7,2.7,1.7,12,6.3,3.8,3.3,2.4,5.8,2.8,2.6,2.7,1.7,5.7,2.8,2.6,2.7,1.7,10,5.4,3.8,3.3,2.4,0.739,0.538,0.455,0.455,0.25,1.9,1.4,1.4,1.3,1.4,1.2,n/a,2,1.4,1.4,1.3,1.4,1.2,n/a,2.4,1.9,1.8,1.7,1.6,1.5,n/a,0.09,0.1,0.2,0.2,0.3,0.3,n/a
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_3FE3.mae,1030,30,30,0.206828053544,4.68640776699,0.195717152797,0.582524271845,0.279517066582,0.233009708738,0.636966666667,2.96680188302,0.632977346278,362.533333333,2,2,6,8,10,6.66666666667,6.66666666667,20.0,26.6666666667,33.3333333333,2,2,6,8,10,6.66666666667,6.66666666667,20.0,26.6666666667,33.3333333333,6.9,3.3,4,2.7,1.7,6.7,3.3,4,2.7,1.7,11,6.4,4.6,3.8,2.6,6,2.9,3.9,2.6,1.6,5.8,2.9,3.9,2.6,1.6,10,5.6,4.5,3.7,2.6,0.739,0.538,0.6,0.455,0.25,1.8,1.4,1.4,1.4,1.3,1.3,1.1,1.8,1.4,1.4,1.4,1.3,1.3,1.1,2.5,2,1.8,1.8,1.7,1.6,1.5,0.08,0.1,0.2,0.2,0.3,0.3,0.4
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_3I79.mae,1030,30,30,0.198683609643,4.68640776699,0.115453517374,0.582524271845,0.184867792501,0.233009708738,0.604866666667,1.7501159829,0.601812297735,394.633333333,2,2,3,3,6,6.66666666667,6.66666666667,10.0,10.0,20.0,2,2,3,3,6,6.66666666667,6.66666666667,10.0,10.0,20.0,6.9,3.3,2,1,1,6.7,3.3,2,1,1,11,6.3,3.2,1.9,1.3,6.5,3.1,1.9,0.95,0.99,6.3,3.2,1.9,0.95,0.99,11,5.9,3,1.8,1.3,0.739,0.538,0.333,0,0,1.4,1.5,1.4,1.3,1.3,1.4,1.1,1.4,1.5,1.4,1.3,1.3,1.4,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,0.2,0.2,0.2,0.3,0.3,0.3,0.4
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_3KK8.mae,1030,30,30,0.00327212835509,4.68640776699,0.0989199026258,0.582524271845,0.222523032092,0.233009708738,0.621,1.49948920981,0.617475728155,378.5,0,0,3,5,9,0.0,0.0,10.0,16.6666666667,30.0,0,0,3,5,10,0.0,0.0,10.0,16.6666666667,33.3333333333,0,0,2,1.7,1.5,0,0,2,1.7,1.7,n/a,n/a,1.2,1.6,1.6,n/a,n/a,2,1.6,1.5,n/a,n/a,2,1.6,1.7,n/a,n/a,1.2,1.6,1.6,-1,-1,0.333,0.25,0.25,1.8,2,1.6,1.5,1.3,1.1,1.1,1.9,2,1.6,1.6,1.3,1.1,1.1,1.6,1.7,1.7,1.6,1.5,1.4,1.4,0.1,0.1,0.2,0.2,0.3,0.3,0.4
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_3KK9.mae,1030,30,29,0.438031993809,4.68640776699,0.262840026465,0.582524271845,0.339362516488,0.233009708738,0.679533333333,3.98429197722,0.67430420712,332.034482759,4,5,7,8,12,13.3333333333,16.6666666667,23.3333333333,26.6666666667,40.0,4,5,7,9,13,13.3333333333,16.6666666667,23.3333333333,30.0,43.3333333333,14,8.2,4.6,2.7,2,13,8.3,4.7,3,2.2,27,15,7.3,4.7,3.3,14,8.2,4.6,2.7,2,13,8.3,4.7,3,2.2,27,15,7.3,4.7,3.3,0.86,0.786,0.647,0.5,0.368,2.9,1.8,1.5,1.4,1.2,1.1,n/a,3.1,1.9,1.6,1.4,1.2,1.1,n/a,4.2,2.8,2.4,2.1,1.8,1.6,n/a,0.05,0.09,0.1,0.2,0.2,0.3,n/a
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_537.mae,1030,30,30,0.0913825755039,4.68640776699,0.0908765165524,0.582524271845,0.205512158216,0.233009708738,0.605366666667,1.37756258173,0.602297734628,394.133333333,1,1,1,5,10,3.33333333333,3.33333333333,3.33333333333,16.6666666667,33.3333333333,1,1,1,6,11,3.33333333333,3.33333333333,3.33333333333,20.0,36.6666666667,3.4,1.6,0.66,1.7,1.7,3.3,1.7,0.67,2,1.8,5.1,2.9,1.3,1.1,1.3,n/a,n/a,n/a,1.6,1.7,n/a,n/a,n/a,2,1.8,n/a,n/a,n/a,1.1,1.3,0.538,0.25,-0.2,0.333,0.294,1.9,1.7,1.4,1.3,1.1,1.1,1.1,2,1.7,1.4,1.4,1.1,1.1,1.1,1.3,1.4,1.5,1.4,1.3,1.3,1.3,0.1,0.2,0.2,0.2,0.3,0.3,0.4
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_Apo.mae,1030,30,30,0.296512123176,4.68640776699,0.197504796728,0.582524271845,0.266673376084,0.233009708738,0.638133333333,2.99390009698,0.634110032362,361.366666667,3,3,5,7,9,10.0,10.0,16.6666666667,23.3333333333,30.0,3,4,5,7,9,10.0,13.3333333333,16.6666666667,23.3333333333,30.0,10,4.9,3.3,2.3,1.5,10,6.7,3.3,2.3,1.5,16,9.9,5.2,3.7,2.5,9.8,4.7,3.2,2.3,1.5,9.6,6.4,3.3,2.3,1.5,15,9.5,5.1,3.7,2.4,0.818,0.739,0.538,0.4,0.2,1.4,1.5,1.5,1.4,1.4,1.3,1.1,1.4,1.5,1.5,1.4,1.5,1.3,1.1,2,1.9,1.8,1.7,1.7,1.6,1.4,0.1,0.1,0.2,0.2,0.3,0.3,0.4
 validationLib_actives_30_39_20110205.maegz,vsw-01-05_HTVS_ATP.mae,1030,30,26,0.15998533575,4.68640776699,0.100397761908,0.582524271845,0.188345031361,0.233009708738,0.678733333333,1.52189151617,0.673527508091,374.5,1,2,2,3,9,3.33333333333,6.66666666667,6.66666666667,10.0,30.0,1,2,2,3,9,3.33333333333,6.66666666667,6.66666666667,10.0,30.0,3.4,3.3,1.3,1,1.5,3.3,3.3,1.3,1,1.5,6.1,4.3,2.4,1.4,1.3,n/a,3.3,1.3,1,1.5,n/a,3.3,1.3,1,1.5,n/a,4.2,2.4,1.4,1.3,0.538,0.538,0.143,0,0.2,1.5,1.5,1.2,1,1,n/a,n/a,1.5,1.5,1.2,1,1,n/a,n/a,1.4,1.4,1.3,1.3,1.2,n/a,n/a,0.1,0.2,0.2,0.3,0.3,n/a,n/a
