Bacteria,,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012,FY2013,FY2014,FY2015,FY2016
Acetobacter aurantius,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter baumannii,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,15,28,64,62,80,139,209,157,168
Actinomyces israelii,,2,3,4,1,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrobacterium radiobacter,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrobacterium tumefaciens,,1,3,7,10,7,4,10,8,15,16,14,1,15,10,11,16,10,13,13,14,11,11,17,11,11,13,9,12,10,12,5,3
Anaplasma phagocytophilum,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,33,32,54,52,83,73,84,93,51,51,36,27
Azorhizobium caulinodans,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0
Azotobacter vinelandii,,6,8,11,11,9,8,9,8,6,6,5,1,5,4,2,3,5,11,5,2,1,2,2,1,3,1,1,1,0,0,1,0
viridans streptococci,,2,2,2,1,1,2,1,3,4,7,7,3,5,5,3,7,7,6,4,1,3,3,2,1,1,2,3,1,2,1,1,1
Bacillus anthracis,,2,1,2,1,1,1,2,0,6,6,5,0,6,5,12,24,70,182,280,324,334,311,269,252,300,287,241,271,196,164,142,100
Bacillus brevis,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
